 08 F9290B5E0120FF3F  
098 08 F71D00000000207F  
087 08 9E0E000000001038  
077 08 090EB80BD007D407  
000 08 FF000000000000C0  
02F 08 262A0B5E0120FF3F  
0B1 08 2705800000FF4787  
0A3 08 F4AE000000000000  
22B 08 4C09000000000000  
3C2 08 F313000001DF3F00  
098 08 861E00000000207F  
087 08 5A0F000000001038  
34B 02 0000              
225 08 7102230000000000  
32E 08 FF3F000000000000  
0B1 08 BD07800000FF4787  
0A3 08 7DAF000000000000  
149 02 4C01              
098 08 4C1F00000000207F  
094 08 270E81142A838704  
087 08 3200000000001038  
122 08 76BF030A7E000040  
02F 08 D72E0B5E0020FF3F  
096 08 A9AF811180300000  
0A1 08 E7A0000000000000  
0A3 08 77A0000000000000  
02F 08 262F0B5E0020FF3F  
098 08 281000000000207F  
469 08 0000000000000000  
077 08 3801B80BD007D407  
1E9 08 000000007DFC0006  
02F 08 C3200B5E0020FF3F  
096 08 71A1811680300000  
0A1 08 BAA1000000000000  
0A3 08 4EA1000000000000  
02F 08 D4210B5E0020FF3F  
098 08 771100000000207F  
087 08 AD02000000001038  
077 08 6B02B80BD007D407  
2CF 08 0200BEFF0CC2FEED  
02F 08 9D220B5E0020FF3F  
0B1 08 700D800000FF4787  
0A3 08 D2A2000000000000  
137 08 E4FF279A01000000  
098 08 751200000000207F  
14B 08 050062A08F1D0000  
087 08 7503000000001038  
077 08 5203B80BD007D407  
02F 08 0C240B5E0020FF3F  
341 08 000001BE0F93297F  
0A1 08 2FA3000000000000  
33D 08 160A000000380010  
22B 08 100A000000000000  
098 08 CC1300000000207F  
094 08 39F680152A838704  
03D 08 BB0600000000FFFF  
192 08 FFFF000000000000  
02F 08 C1260B5E0020FF3F  
096 08 C1A7811180300000  
0A1 08 73A4000000000000  
0A3 08 3BA4000000000000  
02F 08 D6270B5E0020FF3F  
098 08 711400000000207F  
087 08 FB05000000001038  
122 08 76BE030A7E000040  
02F 08 01280B5E0020FF3F  
0B1 08 8D0B800000FF4787  
096 08 DFA9811180300000  
0A3 08 1CA5000000000000  
02F 08 3D290B5EFF1FFF3F  
098 08 CD1500000000207F  
14D 08 0014000018000004  
087 08 BC06000000001038  
077 08 E606B80BD007D407  
02F 08 8B2A0B5E0020FF3F  
096 08 A4AB811180300000  
3E8 08 FF08000001F87F00  
0A3 08 95A6000000000000  
401 08 2F0333F3FF330300  
098 08 CF1600000000207F  
020 08 17CB0106C1000000  
087 08 6407000000001038  
077 08 6607B80BD007D407  
02F 08 1A2C0B5E0020FF3F  
096 08 CAAD811180300000  
0A1 08 A1A7000000000000  
0A3 08 4AA7000000000000  
02F 08 082D0B5E0020FF3F  
098 08 761700000000207F  
094 08 270E81142A838704  
077 08 2708B80BD007D407  
000 08 FF000000000000C0  
02F 08 D72E0B5E0020FF3F  
096 08 2AAF811680300000  
0A1 08 38A8000000000000  
0A3 08 38A8000000000000  
02F 08 262F0B5E0020FF3F  
098 08 9A1800000000207F  
087 08 C809000000001038  
